time unit: ns, FMC_A[14..0], FMC_A[14], FMC_A[13], FMC_A[12], FMC_A[11], FMC_A[10], FMC_A[9], FMC_A[8], FMC_A[7], FMC_A[6], FMC_A[5], FMC_A[4], FMC_A[3], FMC_A[2], FMC_A[1], FMC_A[0], FMC_D[15..0], FMC_D[15], FMC_D[14], FMC_D[13], FMC_D[12], FMC_D[11], FMC_D[10], FMC_D[9], FMC_D[8], FMC_D[7], FMC_D[6], FMC_D[5], FMC_D[4], FMC_D[3], FMC_D[2], FMC_D[1], FMC_D[0], FMC_NE1, FMC_NOE, FMC_NWE, DAC_D[9..0], DAC_D[9], DAC_D[8], DAC_D[7], DAC_D[6], DAC_D[5], DAC_D[4], DAC_D[3], DAC_D[2], DAC_D[1], DAC_D[0], dac_enable, 
0, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XXX, X, X, X, X, X, X, X, X, X, X, X, 
8, 03FF, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11F9, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
208, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
216, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9638, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
224, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
232, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
240, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
248, 0401, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
256, 0405, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
264, 0404, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
272, 0404, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
280, 0404, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1000, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 200, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
